16:37:04 , 0 , root , DESKTOP-ATTIC, Cloned repository! 
16:50:56 , 0 , root , DESKTOP-ATTIC, Cloned repository! 
17:46:12 , 0 , root , DESKTOP-ATTIC, Cloned repository! 
18:08:17 , 0 , root , DESKTOP-ATTIC, Cloned repository! 
18:11:45 , 0 , root , DESKTOP-ATTIC, Cloned repository! 
User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Initialising, Message : Cloned repository!18:21:54 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Initialising, Message : Cloned repository!18:22:51 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Initialising, Message : Cloned repository!18:25:10 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Status : Initialising, Message : Cloned repository! 
16:58:09 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Params : hello there you monkey! one two three /usr/bin/env /bin/sh /tmp/Microsoft-MIEngine-Cmd-1bcnatih.for ; Status : Initialising, Message : Run requested 
16:58:09 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Params : hello there you monkey! one two three /usr/bin/env /bin/sh /tmp/Microsoft-MIEngine-Cmd-1bcnatih.for ; Status : Completed successfully., Message : Completed 
16:59:30 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Params : extraparam1 extraparam2 ; Status : Initialising, Message : Run requested 
16:59:30 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Params : extraparam1 extraparam2 ; Status : Completed successfully., Message : Completed 
17:24:37 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Params : extraparam1 extraparam2 ; Status : Initialising, Message : Run requested 
17:24:37 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Params : extraparam1 extraparam2 ; Status : Completed successfully., Message : Completed 
17:24:37 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Params : one 2 and 3Â£
 ; Status : Initialising, Message : Run requested 
17:24:37 , User: root , Host: DESKTOP-ATTIC , Repo: https://github.com/codesheff/PublicCloneTest.git , Command : ./ScriptDir1/PromptForInputExample.sh param1 param2 , Params : one 2 and 3Â£
 ; Status : Completed successfully., Message : Completed 
